amount,hour,merchant_new,txn_count_today,anomaly_flag
21000,4,0,5,0
25613,16,0,6,1
39699,7,0,3,1
36454,14,0,2,1
33041,19,0,3,1
39115,3,0,6,1
47713,1,0,5,1
400,4,0,1,0
18362,0,0,3,0
24177,4,1,5,1
28903,5,0,7,1
37550,1,0,7,1
33835,0,0,3,1
18660,3,0,6,1
23640,6,1,7,1
29493,21,0,5,0
48047,0,0,2,1
7220,0,0,5,0
13353,7,1,7,1
6257,19,0,7,1
12366,15,1,4,0
35237,20,1,1,1
6290,12,0,6,1
1943,22,1,5,0
13803,23,0,7,1
38140,22,1,6,1
11282,17,0,3,0
17559,19,0,3,0
3167,9,0,5,0
36979,11,1,4,1
48341,0,0,7,1
4092,9,0,5,0
37251,8,0,2,1
26796,2,0,4,0
14066,18,0,7,1
25072,8,0,7,1
35476,9,0,6,1
27988,18,0,5,0
43728,15,0,7,1
35762,23,0,6,1
40028,17,0,7,1
8837,13,1,1,0
2036,2,0,4,0
10992,1,1,5,1
17508,0,1,1,1
12211,17,0,5,0
20739,23,0,2,0
29213,8,1,3,0
35825,12,0,6,1
33787,1,0,5,1
8822,6,0,4,0
35642,15,0,5,1
1261,20,1,5,0
279,18,0,5,0
48592,14,0,7,1
14395,21,0,5,0
36003,10,0,7,1
31869,0,0,4,1
47829,20,0,4,1
16935,6,1,5,0
26758,19,0,7,1
98,7,1,3,0
20000,9,0,5,0
15223,4,0,6,1
49588,8,0,6,1
33787,0,0,4,1
28086,1,0,6,1
47371,18,0,6,1
5870,13,1,2,0
14342,19,1,5,0
3102,9,0,5,0
44427,8,0,5,1
23831,9,0,5,0
2352,5,0,1,0
2333,16,0,5,0
48203,5,0,7,1
42617,3,1,4,1
15670,19,1,7,1
30511,2,0,4,1
20800,22,0,1,0
32940,18,0,5,1
23233,17,1,3,0
9522,23,0,7,1
3777,3,0,5,0
46550,7,1,4,1
25573,16,0,7,1
30816,4,0,2,1
37776,12,0,6,1
574,0,0,2,0
9129,12,0,3,0
8449,3,0,5,0
27420,21,0,1,0
16582,23,0,5,0
16871,13,1,3,0
43212,2,0,3,1
3799,4,0,6,1
11403,6,0,3,0
46827,0,1,2,1
28527,22,1,6,1
24620,11,0,5,0
20887,10,0,7,1
11487,23,1,5,0
38154,7,0,1,1
4601,5,0,3,0
2873,21,1,3,0
12966,1,0,4,0
15217,18,1,6,1
41495,19,1,4,1
47686,19,0,6,1
8441,23,1,2,0
12708,13,1,6,1
29735,0,0,5,0
23430,9,0,1,0
42481,15,0,7,1
28969,3,0,6,1
2361,10,1,6,1
40043,15,0,6,1
44383,19,0,1,1
43088,0,0,3,1
13610,15,1,1,0
49806,18,0,3,1
48783,20,0,7,1
38603,21,0,5,1
26043,8,0,1,0
30542,8,0,3,1
21031,8,0,5,0
24193,16,0,5,0
12117,11,0,3,0
23966,12,1,3,0
41558,7,0,2,1
46471,15,0,5,1
3865,17,0,3,0
31886,0,0,5,1
37527,0,0,1,1
37325,11,0,7,1
39393,5,0,4,1
4823,8,0,4,0
12496,22,0,6,1
30783,4,1,3,1
10514,15,0,3,0
48682,17,0,5,1
21626,16,0,6,1
3370,17,0,3,0
10800,0,0,5,0
37516,18,0,3,1
26622,21,0,5,0
17998,7,0,3,0
38876,2,0,2,1
23565,4,1,7,1
27917,22,0,5,0
776,7,0,7,1
25870,18,1,2,0
6747,17,0,2,0
44728,17,0,2,1
42075,20,0,2,1
13013,0,0,1,0
49484,14,0,7,1
1131,17,1,6,1
20319,6,0,7,1
10826,15,0,4,0
31866,15,1,1,1
14246,14,1,3,0
42162,5,0,3,1
16008,8,0,6,1
23419,6,0,4,0
11739,13,0,4,0
17381,10,0,4,0
37578,20,0,2,1
13486,15,1,1,0
116,5,0,3,0
30775,21,0,1,1
25262,15,0,1,0
33382,19,0,1,1
25451,15,0,4,0
13443,11,0,6,1
3720,16,1,6,1
25651,4,0,4,0
2301,12,0,3,0
45767,7,0,3,1
33622,23,0,3,1
27077,4,0,6,1
31896,11,1,6,1
21065,8,1,1,0
9633,2,0,4,0
23154,2,0,2,0
12274,0,1,1,1
38834,21,0,5,1
30886,17,0,6,1
29349,23,0,1,0
13086,11,1,4,0
19983,8,0,5,0
12442,8,1,7,1
7988,17,1,1,0
4191,17,0,4,0
23400,6,1,4,0
9596,3,1,6,1
5385,12,0,2,0
5127,16,0,1,0
46065,23,0,4,1
5661,1,0,3,0
40907,13,0,4,1
35710,2,0,2,1
5627,4,0,4,0
20052,13,1,6,1
39501,2,0,7,1
34325,22,0,1,1
49153,6,0,6,1
28697,17,0,1,0
34881,12,0,5,1
34818,22,0,1,1
31012,21,0,5,1
48384,9,1,6,1
29633,12,1,3,0
1344,15,0,2,0
15146,8,1,3,0
36883,1,1,5,1
46908,22,0,4,1
27378,4,1,4,1
24448,21,1,3,0
17756,16,0,4,0
22390,22,0,5,0
18875,21,0,6,1
17532,3,0,2,0
9368,16,1,7,1
41306,8,0,1,1
44059,19,1,5,1
43235,1,1,7,1
15624,23,0,5,0
48120,17,0,1,1
14700,20,0,1,0
46168,21,0,2,1
28980,10,0,2,0
20221,12,0,2,0
34914,7,0,4,1
11851,0,1,5,1
22422,16,0,6,1
16609,11,0,1,0
32384,3,0,5,1
39987,20,1,7,1
13338,12,0,5,0
22448,8,0,2,0
10744,6,1,2,0
12241,22,0,5,0
18101,23,0,2,0
10787,4,0,4,0
25301,4,1,1,1
5197,16,0,7,1
19693,8,0,5,0
39017,5,0,1,1
33364,18,1,4,1
38049,15,0,7,1
40783,20,0,2,1
18517,1,1,3,1
34858,9,0,4,1
1802,15,1,3,0
1899,4,1,1,1
2692,14,1,5,0
1650,12,0,7,1
46769,12,0,2,1
20836,12,1,7,1
44615,14,1,4,1
20233,13,0,2,0
49820,7,1,3,1
1182,10,0,3,0
38309,17,0,6,1
31126,23,0,7,1
38613,3,1,5,1
26741,9,0,3,0
43349,0,0,5,1
10981,4,1,6,1
7683,12,0,4,0
37827,0,0,6,1
34931,22,0,5,1
1094,7,0,3,0
46741,2,0,1,1
35249,2,1,5,1
24413,6,0,2,0
46744,3,1,1,1
1632,2,0,7,1
14424,14,0,5,0
1358,7,0,2,0
21351,2,0,7,1
8843,6,0,6,1
1670,17,0,1,0
29933,10,0,5,0
37584,10,0,4,1
38010,16,0,6,1
39440,5,0,2,1
6143,7,1,4,0
49302,0,0,3,1
22309,9,0,6,1
20705,18,1,6,1
33055,2,1,5,1
31679,3,0,5,1
23660,10,0,2,0
21652,14,0,6,1
20459,0,0,5,0
11160,8,1,3,0
6123,10,1,7,1
35360,18,0,7,1
15332,12,1,7,1
10245,15,0,5,0
1587,3,0,6,1
17188,0,1,7,1
44378,19,0,1,1
46252,12,1,4,1
40214,0,1,6,1
24257,4,0,3,0
20669,4,0,6,1
49742,13,0,3,1
24895,22,0,6,1
24360,13,0,7,1
37949,7,0,4,1
30612,3,1,4,1
28086,6,0,3,0
8747,19,0,6,1
17563,18,0,4,0
43089,14,1,2,1
3195,21,0,6,1
27868,3,0,4,0
