monthly_income,emi,monthly_expense,savings,risk_level
30795,15692,19968,-4865,Medium
15860,8597,9568,-2305,Medium
91820,19653,35483,36684,Low
69886,14398,47131,8357,Medium
21265,8622,9870,2773,Medium
97386,29752,57720,9914,Medium
52194,27137,18234,6823,Medium
59131,32522,34044,-7435,Medium
75263,20826,36418,18019,Low
31023,6776,24614,-367,Medium
56090,27498,18744,9848,Medium
82221,19519,45317,17385,Low
79820,40812,45901,-6893,Medium
15769,4917,11590,-738,Medium
74735,32418,48172,-5855,Medium
77955,11519,54594,11842,Medium
79925,32923,61240,-14238,Medium
82969,27038,67812,-11881,Medium
20311,7988,9918,2405,Medium
98104,18051,61100,18953,Medium
68707,32184,55244,-18721,Medium
43693,23218,39047,-18572,High
86932,18114,72476,-3658,Medium
40658,6011,21259,13388,Low
99478,11123,41492,46863,Low
33431,14073,19845,-487,Medium
17747,7161,13221,-2635,Medium
74150,27683,44159,2308,Medium
80725,17434,47620,15671,Low
99654,29443,80016,-9805,Medium
50773,20168,26241,4364,Medium
82435,28718,67256,-13539,Medium
71886,42692,39111,-9917,Medium
81803,13760,40651,27392,Low
46551,20834,26645,-928,Medium
26394,7975,19992,-1573,Medium
84092,26413,31585,26094,Medium
18890,8666,7893,2331,Medium
56606,25258,49296,-17948,Medium
95038,56607,38518,-87,Medium
25627,4207,16417,5003,Medium
23792,3617,15407,4768,Medium
88969,41118,52827,-4976,Medium
58001,22573,39837,-4409,Medium
91552,21705,40090,29757,Low
38897,5434,24567,8896,Medium
83148,11875,43511,27762,Low
38483,21053,26822,-9392,Medium
63555,12452,24451,26652,Low
32159,8415,20663,3081,Medium
95077,20282,39092,35703,Low
50920,14130,23789,13001,Low
82121,11062,35412,35647,Low
84479,30372,34611,19496,Medium
34457,4610,27408,2439,Medium
81557,40793,38447,2317,Medium
92189,19991,78939,-6741,Medium
93953,34763,82862,-23672,Medium
67995,36719,43704,-12428,Medium
55757,23721,21511,10525,Medium
24692,9049,12956,2687,Medium
60758,15928,47308,-2478,Medium
87409,23294,45490,18625,Low
86211,37479,30364,18368,Medium
80697,48181,51167,-18651,Medium
52065,22435,42020,-12390,Medium
47606,18037,37016,-7447,Medium
26534,12346,10748,3440,Medium
55397,18425,38980,-2008,Medium
16016,2083,6923,7010,Low
70591,26905,30419,13267,Medium
38247,22137,31532,-15422,High
39300,7374,17677,14249,Low
89065,39634,40787,8644,Medium
97798,19605,29377,48816,Low
24268,8928,19958,-4618,Medium
27185,4032,21083,2070,Medium
78704,25593,53235,-124,Medium
54099,25863,40582,-12346,Medium
23571,6453,9221,7897,Low
53044,22939,30499,-394,Medium
66214,32956,33817,-559,Medium
76228,42961,27157,6110,Medium
63984,13905,37857,12222,Low
55774,16713,47544,-8483,Medium
17568,3095,5692,8781,Low
77592,46263,36846,-5517,Medium
82563,46524,35050,989,Medium
17695,6546,7836,3313,Medium
63190,32923,53399,-23132,High
20258,7302,11766,1190,Medium
54504,22444,31600,460,Medium
48159,6961,36424,4774,Medium
28986,13844,11382,3760,Medium
76858,12593,45527,18738,Low
27666,14193,15437,-1964,Medium
53660,26347,35316,-8003,Medium
18561,8433,16699,-6571,Medium
41854,4942,31878,5034,Medium
79505,20000,42830,16675,Low
67251,15572,53567,-1888,Medium
37662,10547,15156,11959,Low
23392,3364,7445,12583,Low
45535,25885,19246,404,Medium
93603,35279,47199,11125,Medium
67256,16999,40780,9477,Medium
50222,14990,33602,1630,Medium
92373,29892,78181,-15700,Medium
94575,37858,57304,-587,Medium
99651,35659,59866,4126,Medium
78335,43843,25861,8631,Medium
25965,9048,8333,8584,Medium
39538,23567,24936,-8965,Medium
85592,44996,48180,-7584,Medium
23110,4720,18569,-179,Medium
94309,53312,37384,3613,Medium
42266,6685,13313,22268,Low
67992,34589,38716,-5313,Medium
97948,28435,43340,26173,Low
21910,11809,7225,2876,Medium
15206,8120,11172,-4086,Medium
38419,19323,14098,4998,Medium
65636,32490,43647,-10501,Medium
65015,16405,30467,18143,Low
69268,9729,27991,31548,Low
33141,9991,17493,5657,Medium
95356,17808,74460,3088,Medium
86910,38890,46519,1501,Medium
71044,19398,53315,-1669,Medium
82214,48325,30854,3035,Medium
48827,20531,37287,-8991,Medium
70820,36206,31313,3301,Medium
77623,12905,54835,9883,Medium
96734,51366,61858,-16490,Medium
90450,50776,77559,-37885,High
37299,12813,19857,4629,Medium
58585,23617,19901,15067,Medium
79044,38131,24621,16292,Medium
57557,10787,45821,949,Medium
64080,22510,39399,2171,Medium
17693,5296,13537,-1140,Medium
84163,14575,37086,32502,Low
40939,11617,20758,8564,Low
63925,8571,20332,35022,Low
57941,6541,50808,592,Medium
36834,6172,25810,4852,Medium
33047,19218,28417,-14588,High
41105,15404,18879,6822,Medium
90766,52908,60529,-22671,Medium
30707,9711,21712,-716,Medium
36976,9462,18137,9377,Low
59262,20923,47934,-9595,Medium
38776,12398,33669,-7291,Medium
45080,6889,37457,734,Medium
81842,34407,60844,-13409,Medium
76373,15887,35626,24860,Low
21776,8923,10212,2641,Medium
70016,29763,61475,-21222,Medium
24474,4307,7493,12674,Low
73053,9546,53301,10206,Medium
36959,18123,26748,-7912,Medium
20530,6772,13829,-71,Medium
18748,2420,16761,-433,Medium
28545,17053,13905,-2413,Medium
81199,10465,40922,29812,Low
49766,22271,17286,10209,Medium
88530,52395,50079,-13944,Medium
76087,16707,34743,24637,Low
83840,14347,42425,27068,Low
69384,11149,55558,2677,Medium
66005,16609,56849,-7453,Medium
61576,9268,25334,26974,Low
54353,24245,28454,1654,Medium
77003,10098,66005,900,Medium
98211,34836,33105,30270,Medium
67733,40527,24073,3133,Medium
80318,40720,31940,7658,Medium
38664,15759,25407,-2502,Medium
82172,20799,32070,29303,Low
41736,17193,36762,-12219,Medium
15854,5763,9005,1086,Medium
53623,16786,32222,4615,Medium
22392,3702,10031,8659,Low
70680,38400,41176,-8896,Medium
61717,20051,43025,-1359,Medium
